name,cas_rn,odor_threshold
ACETALDEHYDE,75-07-0,0.05
ACETATE DE n-BUTYLE,123-86-4,0.39
"ACETATE DE 1,3-DIMETHYLBUTYLE",108-84-9,0.22
ACETATE DE 2-ETHOXYETHYLE,111-15-9,0.056
ACETATE D'ETHYLE,141-78-6,1
ACETATE D'ISOBUTYLE,110-19-0,0.64
ACETATE D'ISOPENTYLE,123-92-2,0.025
ACETATE D'ISOPROPYLE,108-21-4,2.7
ACETATE DE 2-METHOXYETHYLE,110-49-6,0.64
ACETATE DE 1-METHYLBUTYLE,626-38-0,0.002
ACETATE DE METHYLE,79-20-9,4.6
ACETATE DE PENTYLE,628-63-7,0.054
ACETATE DE PROPYLE,109-60-4,0.67
ACETATE DE VINYLE,108-05-4,0.5
ACETONE,67-64-1,13
ACETONITRILE,75-05-8,40
ACETOPHENONE,98-86-2,0.004
ACETYLENE,74-86-2,620
ACIDE ACETIQUE,64-19-7,0.48
ACIDE ACRYLIQUE,79-10-7,0.094
ACIDE BUTYRIQUE,107-92-6,0.001
ACIDE FORMIQUE,64-18-6,49
ACIDE PROPIONIQUE,79-09-4,0.16
ACIDE SULFURIQUE,7664-93-9,0.25
ACIDE TRICHLOROACETIQUE,76-03-9,0.29
ACRYLALDEHYDE,107-02-8,0.16
ACRYLATE DE n-BUTYLE,141-32-2,0.035
ACRYLATE D'ETHYLE,140-88-5,0.00024
ACRYLATE DE METHYLE,96-33-3,0.0048
ACRYLONITRILE,107-13-1,17
ALCOOL ALLYLIQUE,107-18-6,0.78
ALCOOL FURFURYLIQUE,98-00-0,8
ALLYLAMINE,107-11-9,3.71
2-AMINOETHANOL,141-43-5,2.6
AMMONIAC,7664-41-7,0.5
ANHYDRIDE ACETIQUE,108-24-7,0.13
ANHYDRIDE MALEIQUE,108-31-6,0.32
ANHYDRIDE PHTALIQUE,85-44-9,0.053
ANILINE,62-53-3,0.5
ARSINE,7784-42-1,0.5
AZIRIDINE,151-56-4,1.5
BENZENE,71-43-2,4.68
BENZENETHIOL,108-98-5,0.00094
p-BENZOQUINONE,106-51-4,0.084
BIPHENYLE,92-52-4,0.00083
BROME,7726-95-6,0.051
BROMOCHLOROMETHANE,74-97-5,400
BROMOETHANE,74-96-4,3.1
BROMOFORME,75-25-2,1.3
BROMURE D'HYDROGENE,10035-10-6,2
"1,3-BUTADIENE",106-99-0,1
BUTANE,106-97-8,2700
1-BUTANOL,71-36-3,0.17
2-BUTANOL,78-92-2,2.5
1-BUTANETHIOL,109-79-5,0.0001
BUTANONE,78-93-3,5.4
1-BUTENE,25167-67-3,1.95
2-BUTENE,107-01-7,5.13
cis-2-BUTENE,590-18-1,0.219
2-BUTOXYETHANOL,111-76-2,0.1
BUTYLAMINE,109-73-9,0.12
4-tert-BUTYLTOLUENE,98-51-1,5
2-BUTYNE,503-17-3,5.49
CAMPHRE,76-22-2,0.018
CAPROLACTAM,105-60-2,0.065
CHLORE,7782-50-5,0.2
2-CHLOROACETOPHENONE,532-27-4,0.035
CHLOROBENZENE,108-90-7,0.68
"2-CHLORO-1,3-BUTADIENE",126-99-8,0.1
1-CHLOROBUTANE,109-69-3,7.58
"1-CHLORO-2,3-EPOXYPROPANE",106-89-8,0.93
CHLOROETHANE,75-00-3,4.2
2-CHLOROETHANOL,107-07-3,0.4
CHLOROETHYLENE,75-01-4,3000
CHLOROFORME,67-66-3,2.4
CHLOROMETHANE,74-87-3,10
4-CHLOROPHENOL,106-48-9,0.00047
3-CHLOROPROPENE,107-05-1,0.47
2-CHLOROTOLUENE,95-49-8,0.32
alpha-CHLOROTOLUENE,100-44-7,0.044
CHLORURE D'ACETYLE,75-36-5,0.079
CHLORURE DE BENZOYLE,98-88-4,0.007
CHLORURE DE CYANOGENE,506-77-4,1
CHLORURE D'HYDROGENE,7647-01-0,0.77
CRESOL,1319-77-3,0.00028
CROTONALDEHYDE,123-73-9,0.12
CUMENE,98-82-8,0.03
CYANOACRYLATE DE 2-METHYLE,137-05-3,1
CYANURE D'HYDROGENE,74-90-8,0.58
CYCLOHEXANE,110-82-7,25
CYCLOHEXANOL,108-93-0,0.15
CYCLOHEXANONE,108-94-1,0.88
CYCLOHEXENE,110-83-8,0.18
CYCLOHEXYLAMINE,108-91-8,2.6
CYCLOPENTADIENE,542-92-7,1.9
p-CYMENE,99-87-6,0.0021
DECABORANE,17702-41-9,0.06
DECANE,124-18-5,0.74
DIBORANE,19287-45-7,2.5
"1,2-DICHLOROBENZENE",95-50-1,0.3
"1,4-DICHLOROBENZENE",106-46-7,0.18
"1,1-DICHLOROETHANE",75-34-3,100
"1,2-DICHLOROETHANE",107-06-2,88
"1,1-DICHLOROETHYLENE",75-35-4,190
"1,2-DICHLOROETHYLENE",540-59-0,17
trans-DICHLOROETHYLENE,156-60-5,17
DICHLOROETHYLETHER,111-44-4,0.049
DICHLOROMETHANE,75-09-2,25
"1,2-DICHLOROPROPANE",78-87-5,0.25
"1,3-DICHLOROPROPENE",542-75-6,1
DICYCLOPENTADIENE,77-73-6,0.003
DIELDRINE,60-57-1,0.041
"DI (2,3-EPOXY) PROPYL ETHER",05-07-2238,4.7
DIETHYLAMINE,109-89-7,0.05
2-DIETHYLAMINOETHANOL,100-37-8,0.011
DIFLUORURE D'OXYGENE,7783-41-7,0.1
DIISOCYANATE DE 4-METHYL-m-PHENYLENE,584-84-9 ,.17
DIISOPROPYLAMINE,108-18-9,1.8
"N,N-DIMETHYLACETAMIDE",127-19-5,47
DIMETHYLAMINE,124-40-3,0.047
"N,N-DIMETHYLANILINE",121-69-7,0.013
DIMETHYLETHOXYSILANE,14857-34-2,1
"N,N-DIMETHYLFORMAMIDE",68-12-2,0.47
"2,6-DIMETHYLHEPTANE-4-OL",108-82-7,0.104
"2,6-DIMETHYLHEPTANE-4-ONE",108-83-8,0.11
"N,N-DIMETHYLHYDRAZINE",57-14-7,1.7
DINITRATE DE PROPYLENE GLYCOL,6423-43-4,0.2
"1,4-DIOXANE",123-91-1,2.8
DIOXYDE D'AZOTE (NO2),10102-44-0,0.11
DIOXYDE DE CARBONE,124-38-9,74000
DIOXYDE DE CHLORE,10049-04-4,0.1
DIOXYDE DE SOUFRE,7446-09-5,1.1
DIPHENYLAMINE,122-39-4,0.022
DISULFURE DE CARBONE,75-15-0,0.1
DISULFURE DE DIMETHYLE,624-92-0,0.00078
"1,2-EPOXY-3-ALLYLOXYPROPANE",106-92-3,8.8
"1,2-EPOXY-3-ISOPROPOXYPROPANE",4016-14-2,303
ETHANE,74-84-0,900
ETHANEDINITRILE,460-19-5,235
ETHANETHIOL,75-08-1,0.00076
ETHANOL,64-17-5,84
2-ETHOXYETHANOL,110-80-5,2.7
ETHYLAMINE,75-04-7,0.95
ETHYLBENZENE,100-41-4,2.3
ETHYLENE,74-85-1,290
ETHYLENE GLYCOL,107-21-1,24.4
ETHYLENE-DIAMINE,107-15-3,1
"5-ETHYLIDENE-8,9,10-TRINORBURN-2-ENE",16219-75-3,0.014
4-ETHYLMORPHOLINE,100-74-3,1.4
FLUOR,7782-41-4,0.14
FLUORURE D'HYDROGENE,7664-39-3,0.042
FORMALDEHYDE,50-00-0,0.05
FORMIATE DE BUTYLE,592-84-7,1.07
FORMIATE D'ETHYLE,109-94-4,31
FORMIATE DE METHYLE,107-31-3,600
2-FURALDEHYDE,98-01-1,0.078
GLUTARALDEHYDE,111-30-8,0.04
HALOTHANE,151-67-7,33
HEPTACHLORE,76-44-8,0.02
HEPTANE,142-82-5,9.8
2-HEPTANONE,110-43-0,0.14
HEXACHLOROCYCLOPENTADIENE,77-47-4,0.03
HEXACHLOROETHANE,67-72-1,0.15
HEXANE,110-54-3,80
2-HEXANONE,591-78-6,0.076
HYDRAZINE,302-01-2,3.7
4-HYDROXY-4-METHYL-2-PENTANE-2-ONE,123-42-2,0.28
"2,2'-IMINODIETHANOL",111-42-2,0.27
INDENE,95-13-6,0.015
IODOFORME,75-47-8,0.005
ISOBUTANE,75-28-5,10
ISOBUTYRALDEHYDE,78-84-2,0.04
ISOCYANATE DE METHYLE,624-83-9,2.1
ISOPHORONE,78-59-1,0.2
ISOPROPYLAMINE,75-31-0,1.2
LACTATE DE BUTYLE,138-22-7,7
LACTATE D'ETHYLE,97-64-3,1.62
MESITYLENE,108-67-8,0.23
METHACRYLATE DE METHYLE,80-62-6,0.05
METHACRYLONITRILE,126-98-7,2.1
METHANE,74-82-8,200
METHANETHIOL,74-93-1,0.0016
METHANOL,67-56-1,3
2-METHOXYETHANOL,109-86-4,2.3
2-METHOXY-2-METHYLPROPANE,994-05-8,0.027
1-METHOXY-2-PROPANE-2-OL,107-98-2,10
bis(2-METHOXYPROPYL) ETHER,34590-94-8,100
METHYLAMINE,74-89-5,0.0009
N-METHYLANILINE,100-61-8,1.7
2-METHYLBUTANE-1-OL,137-32-6,0.23
2-METHYLBUTANE-2-OL,75-85-4,1.9
3-METHYLBUTANE-1-OL,123-51-3,0.042
3-METHYLBUTANONE,563-80-4,1.9
METHYL tert-BUTYL ETHER,1634-04-4,0.09
METHYLCYCLOHEXANE,108-87-2,630
2-METHYLCYCLOHEXANOL,583-59-5,500
METHYLCYCLOHEXANOL,25639-42-3,500
"4,4'-METHYLENE DIANILINE",101-77-9,0.5
5-METHYLHEPTANE-3-ONE,541-85-5,5
5-METHYLHEXANE-2-ONE,110-12-3,0.012
METHYLHYDRAZINE,60-34-4,1.7
METHYL OXIRANNE,75-56-9,35
"2-METHYLPENTANE-2,4-DIOL",107-41-5,50
2-METHYLPENTANE-1-OL,105-30-6,0.077
4-METHYLPENTANE-2-OL,108-11-2,0.07
4-METHYLPENTANE-2-ONE,108-10-1,0.3
4-METHYLPENT-3-ENE-2-ONE,141-79-7,0.45
2-METHYLPROPANE-1-OL,78-83-1,0.83
2-METHYLPROPANE-2-OL,75-65-0,47
2-METHYLPROPENE,115-11-7,12.3
METHYLVINYLE CETONE,78-94-4,0.2
MONOXYDE DE CARBONE,630-08-0,100000
MORPHOLINE,110-91-8,0.01
NAPHTALENE,91-20-3,0.084
NITRATE DE N-PROPYLE,627-13-4,50
NITROBENZENE,98-95-3,0.005
NITROETHANE,79-24-3,2.1
NITROMETHANE,75-52-5,3.5
1-NITROPROPANE,108-03-2,11
2-NITROPROPANE,79-46-9,5
3-NITROTOLUENE,99-08-1,0.017
NITROTOLUENE,1321-12-6,0.045
NONANE,111-84-2,47
OCTANE,111-65-9,48
3-OCTANONE,106-68-3,0.06
SILICATE D'ETHYLE,78-10-4,11.7
OXYDE DE DIBUTYLE,142-96-1,0.047
OXYDE DE DIETHYLE,60-29-7,8.9
OXYDE DE DIISOPROPYLE,108-20-3,0.017
OXYDE DE DIPHENYLE,101-84-8,0.0012
OXYDE D'ETHYLENE,75-21-8,261
OXYDE NITRIQUE,10102-43-9,0.3
OXYFLUORURE DE CHLORE,7616-94-6,10
OZONE,10028-15-6,0.045
PARATHION,56-38-2,0.04
PENTABORANE,19624-22-7,0.96
PENTANE,109-66-0,400
1-PENTANOL,71-41-0,0.46
2-PENTANONE,107-87-9,11
3-PENTANONE,96-22-0,0.31
PENTASULFURE DE PHOSPHORE,1314-80-3,0.0047
PERCHLOROMETHYL MERCAPTAN,594-42-3,0.001
PHENANTRENE,85-01-8,0.008
PHENOL,108-95-2,0.04
PHENYLPHOSPHINE,638-21-1,0.57
2-PHENYLPROPENE,98-83-9,0.29
PHOSGENE,75-44-5,0.9
PHOSPHINE,7803-51-2,0.02
PHOSPHITE DE TRIMETHYLE,121-45-9,0.0001
PROPANE,74-98-6,16000
1-PROPANOL,71-23-8,2.6
2-PROPANOL,67-63-0,22
PROPENE,115-07-1,76
PROPIONALDEHYDE,123-38-6,0.145
PROPIONATE D'ETHYLE,105-37-3,0.091
PROPIONATE DE METHYLE,554-12-1,3.02
PYRIDINE,110-86-1,0.17
SELENIURE DE DIHYDROGENE,7783-07-5,0.3
STYRENE,100-42-5,0.04
SULFURE D'HYDROGENE,7783-06-4,0.0081
SULFURE DE METHYLE,75-18-3,0.001
TEREBENTHINE,8006-64-2,100
"1,1,2,2-TETRABROMOETHANE",79-27-6,1
TETRACARBONYLNICKEL,13463-39-3,0.3
"1,1,2,2-TETRACHLOROETHANE",79-34-5,1.5
TETRACHLOROETHYLENE,127-18-4,27
TETRACHLORURE DE CARBONE,56-23-5,96
TETRAHYDROFURANNE,109-99-9,2
"3a,4,7,7a-TETRAHYDRO-4,7-METHANOINDENE",77-73-6,0.0057
TETRAOXYDE D'OSMIUM,20816-12-0,0.0019
TOLUENE,108-88-3,2.5
m-TOLUIDINE,108-44-1,1.48
o-TOLUIDINE,95-53-4,0.25
p-TOLUIDINE,106-49-0,0.33
"1,2,4-TRICHLOROBENZENE",120-82-1,1.4
"1,1,1-TRICHLOROETHANE",71-55-6,100
TRICHLOROETHYLENE,79-01-6,28
TRICHLOROFLUOROMETHANE,75-69-4,5
TRICHLORONITROMETHANE,76-06-2,0.78
"1,1,2-TRICHLOROTRIFLUOROETHANE",76-13-1,45
TRIETHYLAMINE,121-44-8,0.1
TRIFLUORURE D'AZOTE,7783-54-2,500
TRIFLUORURE DE BORE,7637-07-2,1.6
TRIMETHYLAMINE,75-50-3,0.0002
"1,2,4-TRIMETHYLBENZENE",95-63-6,0.15
"2,4,6-TRIMETHYL-1,3,5-TRIOXANE",123-63-7,0.004
VALERALDEHYDE,110-62-3,0.028
4-Vinyltoluene,622-97-9,10
o-XYLENE,95-47-6,0.07
m-XYLENE,108-38-3,0.07
p-XYLENE,106-42-3,0.07
XYLENE,95-47-6,0.07
XYLIDINE,108-69-0,0.056
